trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
261,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,28,1,1,26,3,0,0,0,0,0.0,0,0,58,58,0,101,72,known_visit_core_500,10,4,8
262,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,29,1,2,24,6,0,0,0,0,0.0,0,0,59,59,0,101,81,known_visit_core_500,10,4,8
262,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,30,2,2,29,2,0,0,0,0,0.0,0,0,61,61,0,113,66,known_visit_core_500,10,4,8
262,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,30,3,0,31,0,1,0,0,0,0.0,0,0,61,61,0,116,64,known_visit_core_500,10,4,8
262,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,29,4,0,30,0,0,1,1,0,0.0,0,0,60,60,0,117,64,known_visit_core_500,10,4,8
263,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,24,5,0,25,0,0,0,0,0,0.0,0,0,49,49,0,83,70,known_visit_core_500,10,4,8
263,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,25,0,3,19,7,0,0,0,0,0.0,0,0,51,51,0,90,61,known_visit_core_500,10,4,8
263,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,25,3,0,26,0,0,0,0,0,0.0,0,0,51,51,0,94,57,known_visit_core_500,10,4,8
263,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,25,2,1,21,5,0,0,0,0,0.0,0,0,51,51,0,89,62,known_visit_core_500,10,4,8
264,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,16,1,0,17,0,0,0,0,0,0.0,0,0,33,33,0,55,43,known_visit_core_500,10,4,8
264,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,16,4,0,17,0,0,0,0,0,0.0,0,0,33,33,0,67,31,known_visit_core_500,10,4,8
264,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,15,2,0,16,0,1,2,2,0,0.0,0,0,33,33,0,73,24,known_visit_core_500,10,4,8
264,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,15,3,0,16,0,0,0,0,0,0.0,0,0,32,32,0,64,35,known_visit_core_500,10,4,8
265,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,38,5,0,38,1,0,1,1,0,0.0,0,0,78,78,0,145,86,known_visit_core_500,10,4,8
265,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,39,3,0,40,0,0,0,0,0,0.0,0,0,79,79,0,144,86,known_visit_core_500,10,4,8
265,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,37,0,1,31,7,1,5,3,1,5.0,1,0,78,78,0,148,83,known_visit_core_500,10,4,8
265,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,35,2,4,26,10,0,1,1,0,0.0,0,0,74,74,0,159,76,known_visit_core_500,10,4,8
266,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,25,1,2,16,10,0,0,0,0,0.0,0,0,51,51,0,81,73,known_visit_core_500,10,4,8
266,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,25,1,1,19,7,0,0,0,0,0.0,0,0,52,52,0,100,52,known_visit_core_500,10,4,8
266,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,25,4,0,26,0,0,0,0,0,0.0,0,0,51,51,0,96,58,known_visit_core_500,10,4,8
266,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,24,4,0,25,0,0,0,0,0,0.0,0,0,51,51,0,96,57,known_visit_core_500,10,4,8
267,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,28,3,0,28,1,0,0,0,0,0.0,0,0,58,58,0,106,68,known_visit_core_500,10,4,8
267,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,27,2,3,19,9,0,0,0,0,0.0,0,0,56,56,0,108,68,known_visit_core_500,10,4,8
267,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,29,2,1,29,1,0,0,0,0,0.0,0,0,59,59,0,108,65,known_visit_core_500,10,4,8
267,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,29,3,2,22,8,0,0,0,0,0.0,0,0,59,59,0,106,67,known_visit_core_500,10,4,8
268,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,20,3,0,21,0,0,0,0,0,0.0,0,0,41,41,0,75,50,known_visit_core_500,10,4,8
268,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,21,4,0,22,0,0,0,0,0,0.0,0,0,43,43,0,79,45,known_visit_core_500,10,4,8
268,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,20,2,0,21,0,0,0,0,0,0.0,0,0,42,42,0,80,46,known_visit_core_500,10,4,8
