trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot
52,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(18,18);03:(1,4)",00:0;01:0;02:0;03:0,
53,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 53. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
54,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 54. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
55,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(0,5);03:(18,18)",00:0;01:0;02:0;03:0,
56,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 56. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
57,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(0,5);03:(18,18)",00:0;01:0;02:0;03:0,
58,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 58. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
59,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 59. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
60,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 60. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
61,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(18,18);03:(1,3)",00:0;01:0;02:0;03:0,
62,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,6);01:(18,18);02:(0,7);03:(0,8)",00:0;01:0;02:0;03:0,
63,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,4);01:(1,3);02:(18,18);03:(1,5)",00:0;01:0;02:0;03:0,
64,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,2);01:(0,3);02:(18,18);03:(16,16)",00:0;01:0;02:0;03:0,
