experiment,algorithm,task_load,outcome,unit_of_analysis,terminal_jobs,completed_jobs,failed_jobs,timeout_jobs,completion_rate,n,mean,median,std,p95,minimum,maximum
experiment2,HIPC,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0,0,1.0,25,2.495873,2.4754,1.4565985938623127,4.278244999999999,0.490525,6.013175
experiment2,HIPC,50,maximum_robot_call_p95_ms,scenario_trial,25,25,0,0,1.0,25,22.337016,22.5331,2.497649883670648,25.740859999999998,17.4752,26.1812
experiment2,DMCHBA,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,959.64224,975.1117,95.04740572658555,1104.85998,810.2324,1182.9898
experiment2,DMCHBA,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,300.332304,285.458,48.66143367866282,380.65405999999996,229.4599,418.6449
experiment2,DMCHBA,50,allocator_calls_total,scenario_trial,25,25,0,0,1.0,25,189.2,175.0,44.75581898852185,285.7999999999999,138.0,298.0
experiment2,DMCHBA,50,maximum_robot_allocator_calls,scenario_trial,25,25,0,0,1.0,25,58.92,52.0,16.85210174824889,92.59999999999998,37.0,96.0
experiment2,DMCHBA,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0,0,1.0,25,0.207021,0.195975,0.04623398803910387,0.27213999999999994,0.12685000000000002,0.28132500000000005
experiment2,DMCHBA,50,maximum_robot_call_p95_ms,scenario_trial,25,25,0,0,1.0,25,55.65342,55.0994,9.874368397100984,72.32627999999997,40.7957,74.8894
experiment2,DGA,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,36920.704084,34940.1306,9625.443217943015,53584.02456,23871.3303,57802.8376
experiment2,DGA,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,12246.66598,13122.6738,3433.8219708791266,17696.33772,6891.1596,19816.1111
experiment2,DGA,50,allocator_calls_total,scenario_trial,25,25,0,0,1.0,25,159.04,156.0,16.566733735612058,187.79999999999995,125.0,206.0
experiment2,DGA,50,maximum_robot_allocator_calls,scenario_trial,25,25,0,0,1.0,25,47.0,44.0,12.5,70.0,36.0,90.0
experiment2,DGA,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0,0,1.0,25,0.272003,0.28312499999999996,0.06726383892615209,0.36031,0.13,0.40197499999999997
experiment2,DGA,50,maximum_robot_call_p95_ms,scenario_trial,25,25,0,0,1.0,25,2628.15014,2683.1305,237.68074642977317,2922.57064,2065.1667,2954.1449
