trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status
50,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,96,0,92,5,0,0,0,289,98,191,194,95,0,collision_intent:98;pi_entry:95;state:96,860,11,completed
51,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,108,0,89,20,0,0,0,321,113,208,221,100,0,collision_intent:113;pi_entry:100;state:108,914,35,completed
51,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,108,0,95,14,0,0,0,317,110,207,218,99,0,collision_intent:110;pi_entry:99;state:108,925,28,completed
51,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,110,0,92,19,0,0,0,323,115,208,225,98,0,collision_intent:115;pi_entry:98;state:110,925,23,completed
51,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,107,0,85,23,0,0,0,310,111,199,218,92,0,collision_intent:111;pi_entry:92;state:107,935,25,completed
52,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,102,0,84,19,0,0,0,301,103,198,205,96,0,collision_intent:103;pi_entry:96;state:102,839,50,completed
52,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,102,0,91,12,0,0,0,300,105,195,207,93,0,collision_intent:105;pi_entry:93;state:102,870,21,completed
52,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,103,0,93,11,0,0,0,300,103,197,206,94,0,collision_intent:103;pi_entry:94;state:103,876,14,completed
52,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,98,0,93,6,0,0,0,290,100,190,198,92,0,collision_intent:100;pi_entry:92;state:98,852,48,completed
53,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,133,0,111,23,0,0,0,374,133,241,266,108,0,collision_intent:133;pi_entry:108;state:133,1053,22,completed
53,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,122,0,77,46,0,0,0,333,128,205,250,83,0,collision_intent:128;pi_entry:83;state:122,1048,67,completed
53,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,132,0,101,32,0,0,0,382,136,246,268,114,0,collision_intent:136;pi_entry:114;state:132,1044,22,completed
53,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,127,0,72,56,0,0,0,360,132,228,259,101,0,collision_intent:132;pi_clear_path:1;pi_entry:100;state:127,1066,23,completed
54,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,132,0,75,58,0,0,0,374,143,231,275,99,0,collision_intent:143;pi_clear_path:1;pi_entry:98;state:132,1081,48,completed
54,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,136,0,95,42,0,0,0,386,141,245,277,109,0,collision_intent:141;pi_clear_path:1;pi_entry:108;state:136,1075,41,completed
54,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,139,0,93,47,0,0,0,362,141,221,280,82,0,collision_intent:141;pi_entry:82;state:139,1113,27,completed
54,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,135,0,98,38,0,0,0,381,142,239,277,104,0,collision_intent:142;pi_entry:104;state:135,1096,25,completed
55,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,107,0,89,19,0,0,0,311,109,202,216,95,0,collision_intent:109;pi_entry:95;state:107,911,23,completed
55,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,105,0,87,19,0,0,0,304,110,194,215,89,0,collision_intent:110;pi_clear_path:1;pi_entry:88;state:105,928,14,completed
55,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,107,0,90,18,0,0,0,311,108,203,215,96,0,collision_intent:108;pi_entry:96;state:107,907,27,completed
