mission,scenario,comm_model,comm_label,degradation_pct,metric,algorithm,attempted_trial_n,six_way_paired_n,eligible_n,mean,median,sd,ci95_low,ci95_high,source_column,scope,ci_method,panel_model
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_20_rho_0_8,20,total_team_steps,DGA,500,384,384,247.692708333333,217.5,161.737156943755,231.464639309947,263.920777356719,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,total_team_steps,CBAA,500,385,385,251.451948051948,220,164.060578250959,235.012283868699,267.891612235197,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,total_team_steps,ACBBA,500,385,385,235.057142857143,198,150.828465127963,219.943400467514,250.170885246772,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,total_team_steps,PI,500,385,385,254.722077922078,218,169.028391216794,237.784614829705,271.659541014451,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,total_team_steps,HIPC,500,385,385,252.166233766234,212,168.330817027183,235.298670984724,269.033796547743,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,total_team_steps,DMCHBA,500,385,385,227.353246753247,206,131.965568805307,214.129657893331,240.576835613162,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,total_team_steps,DGA,500,385,385,251.54025974026,221,163.319963520408,235.174808738442,267.905710742078,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,total_team_steps,CBAA,500,384,384,261.911458333333,228,174.384400199257,244.414414756517,279.40850191015,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,total_team_steps,ACBBA,500,384,384,254.479166666667,221.5,166.546677869859,237.768529264851,271.189804068483,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,total_team_steps,PI,500,384,384,260.236979166667,216.5,176.983864636765,242.479115571044,277.994842762289,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,total_team_steps,HIPC,500,384,384,270.515625,224,179.033916782142,252.552067250075,288.479182749925,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,total_team_steps,DMCHBA,500,384,384,233.34375,215.5,139.994522692183,219.297251223378,247.390248776622,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
