scenario,grid_size,target_cells_per_robot,robot_count,comm_label,algorithm,mean_max_agent_steps,condition_rank,percent_above_condition_best,attempted_n,completed_n,eligible_n,failed_n
CV,14,220,1,bernoulli_025,ACBBA,48.18,6,6.21693121693122,50,50,50,0
CV,14,220,1,bernoulli_025,PI,47.52,5,4.76190476190477,50,50,50,0
CV,14,220,1,bernoulli_025,HIPC,47.46,3,4.62962962962963,50,50,50,0
CV,14,220,1,bernoulli_025,DMCHBA,47.46,3,4.62962962962963,50,50,50,0
CV,14,220,1,bernoulli_025,DGA,45.36,1,0,50,50,50,0
CV,19,50,8,ideal,CBAA,18.36,3,1.43646408839778,50,50,50,0
CV,19,50,8,ideal,ACBBA,21.56,4,19.1160220994475,50,50,50,0
CV,19,50,8,ideal,PI,31.92,5,76.353591160221,50,50,50,0
CV,19,50,8,ideal,HIPC,32.92,6,81.878453038674,50,50,50,0
CV,19,50,8,ideal,DMCHBA,18.22,2,0.66298342541435,50,50,50,0
CV,19,50,8,ideal,DGA,18.1,1,0,50,50,50,0
CV,19,50,8,bernoulli_025,CBAA,18.88,3,3.16939890710382,50,50,50,0
CV,19,50,8,bernoulli_025,ACBBA,25.72,4,40.5464480874317,50,50,50,0
CV,19,50,8,bernoulli_025,PI,33.24,6,81.6393442622951,50,50,50,0
CV,19,50,8,bernoulli_025,HIPC,31.94,5,74.5355191256831,50,50,50,0
CV,19,50,8,bernoulli_025,DMCHBA,18.3,1,0,50,50,50,0
CV,19,50,8,bernoulli_025,DGA,18.62,2,1.74863387978142,50,50,50,0
CV,19,85,5,ideal,CBAA,20.86,3,5.88832487309645,50,50,50,0
CV,19,85,5,ideal,ACBBA,22.58,4,14.6192893401015,50,50,50,0
CV,19,85,5,ideal,PI,31.36,5,59.1878172588832,50,50,50,0
CV,19,85,5,ideal,HIPC,34.08,6,72.994923857868,50,50,50,0
CV,19,85,5,ideal,DMCHBA,20.76,2,5.38071065989849,50,50,50,0
CV,19,85,5,ideal,DGA,19.7,1,0,50,50,50,0
CV,19,85,5,bernoulli_025,CBAA,22.56,3,6.41509433962264,50,50,50,0
CV,19,85,5,bernoulli_025,ACBBA,27.62,4,30.2830188679245,50,50,50,0
CV,19,85,5,bernoulli_025,PI,32.48,5,53.2075471698113,50,50,50,0
CV,19,85,5,bernoulli_025,HIPC,34.52,6,62.8301886792453,50,50,50,0
CV,19,85,5,bernoulli_025,DMCHBA,21.36,2,0.754716981132076,50,50,50,0
CV,19,85,5,bernoulli_025,DGA,21.2,1,0,50,50,50,0
CV,19,140,3,ideal,CBAA,26.66,3,4.63108320251177,50,50,50,0
CV,19,140,3,ideal,ACBBA,27.3,4,7.14285714285714,50,50,50,0
CV,19,140,3,ideal,PI,33.94,5,33.2025117739403,50,50,50,0
CV,19,140,3,ideal,HIPC,37.2,6,45.9968602825746,50,50,50,0
CV,19,140,3,ideal,DMCHBA,25.66,2,0.706436420722134,50,50,50,0
CV,19,140,3,ideal,DGA,25.48,1,0,50,50,50,0
CV,19,140,3,bernoulli_025,CBAA,28.96,2,7.73809523809524,50,50,50,0
CV,19,140,3,bernoulli_025,ACBBA,31.56,4,17.4107142857143,50,50,50,0
CV,19,140,3,bernoulli_025,PI,35.94,5,33.7053571428571,50,50,50,0
CV,19,140,3,bernoulli_025,HIPC,37.54,6,39.6577380952381,50,50,50,0
CV,19,140,3,bernoulli_025,DMCHBA,26.88,1,0,50,50,50,0
CV,19,140,3,bernoulli_025,DGA,29.12,3,8.33333333333334,50,50,50,0
CV,19,220,2,ideal,CBAA,35.36,3,4.36835891381345,50,50,50,0
CV,19,220,2,ideal,ACBBA,35.62,4,5.13577331759148,50,50,50,0
CV,19,220,2,ideal,PI,37.5,5,10.6847697756789,50,50,50,0
CV,19,220,2,ideal,HIPC,41.64,6,22.9043683589138,50,50,50,0
CV,19,220,2,ideal,DMCHBA,35.3,2,4.19126328217236,50,50,50,0
CV,19,220,2,ideal,DGA,33.88,1,0,50,50,50,0
CV,19,220,2,bernoulli_025,CBAA,38.38,3,6.19811842833426,50,50,50,0
CV,19,220,2,bernoulli_025,ACBBA,39.44,4,9.13115661317099,50,50,50,0
CV,19,220,2,bernoulli_025,PI,41.82,6,15.7166574432761,50,50,50,0
CV,19,220,2,bernoulli_025,HIPC,40.6,5,12.3408965135584,50,50,50,0
CV,19,220,2,bernoulli_025,DMCHBA,36.14,1,0,50,50,50,0
CV,19,220,2,bernoulli_025,DGA,37.18,2,2.87769784172662,50,50,50,0
