trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,stage,environment,parameter,value,setting,algorithm_key,comm_label,out_dir,run_id,failure_type,failure_message
41,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,12);01:(17,14);02:(16,16);03:(18,11)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
42,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,13);01:(18,16);02:(16,15);03:(18,17)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
43,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,1);01:(17,3);02:(18,0);03:(17,6)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
44,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,1);01:(17,5);02:(18,2);03:(15,2)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
45,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(5,7);01:(10,13);02:(12,17);03:(17,18)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
46,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,11);01:(17,7);02:(18,12);03:(16,11)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
47,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,5);01:(17,9);02:(18,6);03:(17,10)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
48,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,7);01:(10,11);02:(12,8);03:(18,18)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
49,ACBBA,ideal,,19,361,4,,,acbba_h1_ideal,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,9);01:(18,12);02:(18,13);03:(18,18)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,ideal,coverage_sensitivity_test_results/horizon_results/raw/h1/ideal/acbba_h1_ideal,acbba_h1_ideal,,
0,ACBBA,bernoulli,0.25,19,361,4,,,acbba_h1_bernoulli_025,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,11);01:(18,17);02:(10,2);03:(18,18)",00:0;01:0;02:0;03:0,,completed,coverage_horizon,coverage,commitment_horizon,1,h1,acbba,bernoulli_025,coverage_sensitivity_test_results/horizon_results/raw/h1/bernoulli/acbba_h1_bernoulli_025,acbba_h1_bernoulli_025,,
