trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,debug_max_events,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed
42,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 42. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
43,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,952,952,0,361,595,0,0,0,2798,5072,3320,,987,1811,1939,859,0,0,0.6113054686061499,7.750692520775623,0.0,0.9023109243697479,0.0,2.3795013850415514,collision_intent:987;pi_entry:859;state:952,245,705,0.13781163434903054
44,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 44. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
45,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,586,586,0,361,229,0,0,0,2324,3804,3168,,601,1723,1187,1137,0,0,0.6128845037724898,6.437673130193906,0.0,1.9402730375426622,0.0,3.149584487534626,collision_intent:601;pi_entry:1137;state:586,283,835,0.49792243767313016
46,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 46. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
47,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,634,634,0,361,277,0,0,0,2308,3933,2990,,639,1669,1273,1035,0,0,0.5972832600878946,6.393351800554017,0.0,1.6324921135646688,0.0,2.8670360110803323,collision_intent:639;pi_entry:1035;state:634,350,1048,0.7056786703601108
48,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 48. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
49,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 49. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
50,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,770,770,0,361,413,0,0,0,2469,4464,2941,,809,1660,1579,890,0,0,0.5907995178786661,6.839335180055402,0.0,1.155844155844156,0.0,2.4653739612188366,collision_intent:809;pi_entry:890;state:770,240,716,0.22506925207756234
51,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,564,564,0,361,207,0,0,0,2327,4051,2928,,578,1749,1142,1185,0,0,0.5582459485224023,6.445983379501385,0.0,2.101063829787234,0.0,3.2825484764542936,collision_intent:578;pi_clear_path:1;pi_entry:1184;state:564,281,834,0.5006925207756232
