trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
53,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,448,448,0,361,91,0,0,0,1306,3667,245,454,852,902,404,0,0,0.09607843137254903,3.6177285318559558,0.0,0.9017857142857143,0.0,1.1191135734072022,collision_intent:454;pi_clear_path:1;pi_entry:403;state:448,113,334,0.04778393351800547,completed
54,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,470,470,0,361,113,0,0,0,1395,3851,331,494,901,964,431,0,0,0.12259259259259259,3.8642659279778395,0.0,0.9170212765957447,0.0,1.1939058171745152,collision_intent:494;pi_clear_path:2;pi_entry:429;state:470,118,358,0.04639889196675906,completed
55,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,496,496,0,361,139,0,0,0,1423,4053,213,506,917,1002,421,0,0,0.07751091703056769,3.9418282548476453,0.0,0.8487903225806451,0.0,1.1662049861495845,collision_intent:506;pi_clear_path:3;pi_entry:418;state:496,127,363,0.05886426592797789,completed
56,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,408,408,0,361,51,0,0,0,1214,3421,218,414,800,822,392,0,0,0.09094701710471423,3.3628808864265927,0.0,0.9607843137254902,0.0,1.0858725761772854,collision_intent:414;pi_entry:392;state:408,103,308,0.06301939058171735,completed
57,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,471,471,0,361,114,0,0,0,1484,4073,377,487,997,958,526,0,0,0.12612914018066243,4.110803324099723,0.0,1.1167728237791932,0.0,1.4570637119113574,collision_intent:487;pi_entry:526;state:471,140,414,0.14750692520775632,completed
58,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,467,467,0,361,110,0,0,0,1668,4480,521,482,1186,949,719,0,0,0.14655414908579464,4.620498614958449,0.0,1.5396145610278373,0.0,1.9916897506925209,collision_intent:482;pi_clear_path:3;pi_entry:716;state:467,178,520,0.27908587257617734,completed
59,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,512,512,0,361,155,0,0,0,1468,4145,250,522,946,1034,434,0,0,0.0882768361581921,4.066481994459834,0.0,0.84765625,0.0,1.2022160664819945,collision_intent:522;pi_entry:434;state:512,130,381,0.15581717451523547,completed
60,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,485,485,0,361,128,0,0,0,1407,4013,205,508,899,993,414,0,0,0.07609502598366741,3.897506925207756,0.0,0.8536082474226804,0.0,1.146814404432133,collision_intent:508;pi_entry:414;state:485,125,356,0.04916897506925211,completed
61,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,506,506,0,361,149,0,0,0,1460,4156,221,520,940,1026,434,0,0,0.078452254171104,4.044321329639889,0.0,0.857707509881423,0.0,1.2022160664819945,collision_intent:520;pi_entry:434;state:506,129,372,0.07548476454293618,completed
62,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,450,450,0,361,93,0,0,0,1301,3646,254,455,846,905,396,0,0,0.10019723865877712,3.6038781163434903,0.0,0.88,0.0,1.0969529085872576,collision_intent:455;pi_entry:396;state:450,114,333,0.025623268698060864,completed
63,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,432,432,0,361,75,0,0,0,1253,3613,140,442,811,874,379,0,0,0.05761316872427984,3.4709141274238227,0.0,0.8773148148148148,0.0,1.0498614958448753,collision_intent:442;pi_entry:379;state:432,110,326,0.08795013850415523,completed
