trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic
77,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,10,0,10,1,0,0,0,1166,2427,1725,13,1153,23,1143,0,collision_intent:13;hipc_entry:1143;state:10
77,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,351,0,187,165,0,0,0,1519,2035,1764,351,1168,702,817,0,collision_intent:351;hipc_entry:817;state:351
78,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,216,0,76,141,0,0,0,948,1683,1177,217,731,433,515,0,collision_intent:217;hipc_entry:515;state:216
78,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,213,0,102,112,0,0,0,944,1772,1091,220,724,433,511,0,collision_intent:220;hipc_entry:511;state:213
78,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,212,0,122,91,0,0,0,978,1803,1027,216,762,428,550,0,collision_intent:216;hipc_entry:550;state:212
78,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,215,0,61,155,0,0,0,938,1680,1189,218,720,433,505,0,collision_intent:218;hipc_entry:505;state:215
79,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,39,0,23,17,0,0,0,1063,2047,1470,46,1017,85,978,0,collision_intent:46;hipc_entry:978;state:39
79,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,38,0,18,21,0,0,0,987,2196,1398,41,946,79,908,0,collision_intent:41;hipc_entry:908;state:38
79,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,277,0,198,80,0,0,0,1294,1989,1297,279,1015,556,738,0,collision_intent:279;hipc_entry:738;state:277
79,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,282,0,122,161,0,0,0,1237,1879,1465,282,955,564,673,0,collision_intent:282;hipc_entry:673;state:282
80,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,226,0,106,121,0,0,0,987,1924,1045,232,755,458,529,0,collision_intent:232;hipc_entry:529;state:226
80,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,222,0,44,179,0,0,0,949,1859,1149,232,717,454,495,0,collision_intent:232;hipc_entry:495;state:222
80,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,235,0,115,121,0,0,0,1024,1973,959,237,787,472,552,0,collision_intent:237;hipc_entry:552;state:235
80,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,228,0,96,133,0,0,0,997,1860,1100,233,764,461,536,0,collision_intent:233;hipc_entry:536;state:228
81,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,199,0,76,124,0,0,0,891,1632,1011,200,691,399,492,0,collision_intent:200;hipc_entry:492;state:199
81,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,197,0,62,136,0,0,0,859,1600,1074,201,658,398,461,0,collision_intent:201;hipc_entry:461;state:197
